"";"Rótulos de Linha";"2014";"2015";"2016";"2017";"2018"
"7";"Angra dos Reis";41654265,7;42722259,23;49613319,55;48232524,8;51555108,71
"8";"Aperibé";6330306,17;6727688,63;7811260,96;7588769,44;8114262
"9";"Araruama";26903800,12;28592675,62;33197857,99;32252269,19;34485612,32
"10";"Areal";6330306,17;6727688,63;7811260,96;7588769,44;8114262
"11";"Armação de Búzios";11078035,49;11773454,83;15622521,59;15177538,59;16228523,63
"12";"Arraial do Cabo";11078035,49;11773454,83;13669706,45;13280346,37;14199958,21
"13";"Barra do Piraí";23738647,22;25228831,51;29292227,64;28457884,59;30428481,47
"14";"Barra Mansa";41654265,7;42722259,23;49613319,55;48232524,8;51555108,71
"15";"Belford Roxo";41654265,7;42722259,23;49613319,55;48232524,8;51555108,71
"16";"Bom Jardim";11078035,49;11773454,83;13669706,45;13280346,37;14199958,21
"17";"Bom Jesus do Itabapoana";12660611,99;13455376,96;15622521,59;15177538,59;16228523,63
"18";"Cabo Frio";41654265,7;42722259,23;49613319,55;48232524,8;51555108,71
"19";"Cachoeiras de Macacu";17408341,43;18501143,17;21480967,1;20869115,49;22314219,83
"20";"Cambuci";7912882,62;8409610,69;9764076,11;9485961,76;10142827,39
"21";"Campos dos Goytacazes";41654265,7;42722259,23;49613319,55;48232524,8;51555108,71
"22";"Cantagalo";9495459,08;10091532,76;11716891,25;11383154,01;12171392,72
"23";"Carapebus";7912882,62;8409610,69;9764076,11;9485961,76;10142827,39
"24";"Cardoso Moreira";6330306,17;6727688,63;7811260,96;7588769,44;8114262
"25";"Carmo";9495459,08;10091532,76;11716891,25;11383154,01;12171392,72
"26";"Casimiro de Abreu";14243188,5;15137299,01;17575336,73;17074730,9;18257088,97
"27";"Comendador Levy Gasparian";4747729,7;5045766,54;5858445,78;5691577,22;6085696,59
"28";"Conceição de Macabu";9495459,08;10091532,76;11716891,25;11383154,01;12171392,72
"29";"Cordeiro";9495459,08;10091532,76;11716891,25;11383154,01;12171392,72
"30";"Duas Barras";6330306,17;6727688,63;7811260,96;7588769,44;8114262
"31";"Duque de Caxias";41654265,7;42722259,23;49613319,55;48232524,8;51555108,71
"32";"Engenheiro Paulo de Frontin";6330306,17;6727688,63;9764076,11;7588769,44;8114262
"33";"Guapimirim";17408341,43;18501143,17;21480967,1;20869115,49;22314219,83
