"";"municípios";"2015";"2016";"2017";"2018"
"2";"Angra dos Reis";3,07;3,11;3,14;2,54
"3";"Areal";3,6;3,44;3,71;3,44
"4";"Armação de Búzios";2,29;3,07;2,52;2,55
"5";"Barra do Piraí";3,2;3,27;3,29;2,66
"6";"Barra Mansa";2,33;2,3;2,53;2,22
"7";"Belford Roxo";1,67;1,77;1,86;1,76
"8";"Bom Jardim";3,48;3,35;3,38;3,16
"9";"Bom Jesus do Itabapoana";2,94;3,2;3,73;3,47
"10";"Cabo Frio";1,99;2,31;1,66;1,97
"11";"Cachoeiras de Macacu";2,86;2,94;2,75;2,64
"12";"Cambuci";3,45;3,53;3,8;3,33
"13";"Carapebus";3,9;3,92;3,22;2,91
"14";"Comendador Levy Gasparian";4,06;4,32;4,11;3,85
"15";"Campos dos Goytacazes";1,34;1,43;1,35;1,1
"16";"Cantagalo";4,52;4,7;4,43;3,77
"17";"Cardoso Moreira";3,65;3,27;3,27;2,9
"18";"Casimiro de Abreu";2,85;3,01;2,72;2,31
"19";"Conceição de Macabu";3,18;3,25;3,18;2,62
"20";"Duque de Caxias";2,84;3,07;3,04;2,66
"21";"Engenheiro Paulo de Frontin";3,48;3,61;3,79;2,65
"22";"Guapimirim";2,36;2,86;2,77;2,56
"23";"Itaboraí";2,08;3,12;2,18;1,85
"24";"Itaguaí";4,17;3,79;3,42;2,9
"25";"Italva";3,82;3,69;3,61;3,21
"26";"Itaocara";3,87;4,19;3,81;3,07
"27";"Itaperuna";2;2,11;2,09;1,89
"28";"Japeri";2,31;2,39;2,18;1,96
"29";"Macaé";2,6;3,13;3,26;2,59
"30";"Macuco";4,38;4,56;4,26;3,62
"31";"Magé";1,91;2,01;2,14;1,76
"32";"Mangaratiba";4,85;3,22;3,69;4
"33";"Maricá";1,2;1,25;0,85;0,74
"34";"Mendes";2,85;2,86;3;2,55
"35";"Miguel Pereira";3,53;3,86;3,4;2,43
"36";"Nilópolis";2,29;2,41;2,45;2,23
"37";"Niterói";2,52;2,53;2,13;1,74
"38";"Nova Friburgo";2,51;2,48;2,66;2,49
"39";"Nova Iguaçu";1,48;1,4;1,07;1,03
"40";"Paracambi";2,37;2,41;2,37;1,94
"41";"Paraíba do Sul";2,89;3,14;3,22;3,4
"42";"Paraty";2,07;2,4;2,52;1,93
"43";"Paty do Alferes";3,35;3,23;3,04;2,41
"44";"Petrópolis";2,21;2,25;2,15;1,85
"45";"Pinheiral";3,27;3,2;3,04;2,59
"46";"Porciúncula";2,9;3,04;3,22;2,94
"47";"Queimados";2,17;2,6;2,91;2,49
"48";"Quissamã";4,26;4,28;3,63;2,76
"49";"Resende";2,26;2,49;2,62;2,57
"50";"Rio Bonito";2,35;2,51;3,11;2,75
"51";"Rio Claro";3,23;3,21;3,65;2,9
"52";"Rio das Flores";3,65;3,99;3,77;2,57
"53";"Rio de Janeiro";1,87;2,19;2,41;2,11
"54";"Santa Maria Madalena";3,97;4,43;4,66;4,25
"55";"Santo Antônio de Pádua";2,78;2,94;3,38;3,39
"56";"São Francisco de Itabapoana";2,99;2,94;2,81;2,9
"57";"São Fidélis";3,21;3,45;3,19;2,93
"58";"São Gonçalo";2,03;2,22;2,09;1,92
"59";"São João da Barra";1,58;2,25;1,83;1,49
"60";"São João de Meriti";2,27;2,19;2,24;2,24
"61";"São José de Ubá";4,2;3,95;3,91;3,13
"62";"São José do Vale do Rio Preto";3,05;3,39;3,45;3,02
"63";"São Pedro da Aldeia";3,26;3,3;3,24;3,03
"64";"São Sebastião do Alto";3,23;3,39;3,36;3,23
"65";"Saquarema";3,22;3,21;2,22;2,56
"66";"Seropédica";3,14;3,34;3,26;3,21
"67";"Sumidouro";3,37;3,2;3,36;3,05
"68";"Teresópolis";3,08;3,18;3,11;3,06
"69";"Três Rios";3,35;3,43;3,5;3,16
"70";"Valença";3,38;3,22;2,62;2,15
"71";"Varre-Sai";3,04;3,03;3,38;2,95
"72";"Volta Redonda";3,32;3,31;3,05;3,27
"73";"Aperibé";3,57;4;4,11;3,12
"74";"Araruama";2,64;2,77;3,01;2,89
"75";"Arraial do Cabo";2,15;2,19;3,12;2,66
"76";"Carmo";3,73;3,76;3,74;2,89
"77";"Cordeiro";3,66;3,61;3,7;3,21
"78";"Duas Barras";3,4;3,38;3,17;3,06
"79";"Iguaba Grande";3,53;3,58;3,85;3,89
"80";"Itatiaia";4,17;4,31;4;3,56
"81";"Laje do Muriaé";3,96;3,85;3,86;3,69
"82";"Mesquita";2,59;2,55;2,66;2,24
"83";"Miracema";3,08;2,84;3,43;2,79
"84";"Natividade";2,76;2,43;2,89;2,78
"85";"Piraí";3,01;2,91;3,24;3,25
"86";"Porto Real";4,67;5,45;5,7;4
"87";"Quatis";2,44;2,33;2,5;2,74
"88";"Rio das Ostras";2,1;2,64;2,61;2,13
"89";"Sapucaia";4,75;4,71;4,47;4,06
"90";"Silva Jardim";2,36;2,48;2,3;2,18
"91";"Tanguá";2,88;2,73;2,92;2,55
"92";"Trajano de Morais";3,65;4,41;4,15;3,25
"93";"Vassouras";2,35;2,76;2,67;2,18
