municípios;populacao
Angra dos Reis;200407
Aperibé;11612
Araruama;130439
Areal;12471
Armação de Búzios;33240
Arraial do Cabo;30096
Barra do Piraí;99969
Barra Mansa;183976
Belford Roxo;508614
Bom Jardim;27269
Bom Jesus do Itabapoana;36985
Cabo Frio;222528
Cachoeiras de Macacu;58560
Cambuci;15496
Carapebus;16039
Comendador Levy Gasparian;8544
Campos dos Goytacazes;503424
Cantagalo;20177
Cardoso Moreira;12826
Carmo;18755
Casimiro de Abreu;43295
Conceição de Macabu;23064
Cordeiro;21806
Duas Barras;11454
Duque de Caxias;914383
Engenheiro Paulo de Frontin;13929
Guapimirim;59613
Iguaba Grande;27762
Itaboraí;238695
Itaguaí;125913
Italva;15113
Itaocara;23247
Itaperuna;102626
Itatiaia;31537
Japeri;103960
Laje do Muriaé;7386
Macaé;251631
Macuco;5574
Magé;243657
Mangaratiba;43689
Maricá;157789
Mendes;18578
Mesquita;175620
Miguel Pereira;25493
Miracema;27195
Natividade;15324
Nilópolis;162269
Niterói;511786
Nova Friburgo;190084
Nova Iguaçu;818875
Paracambi;51815
Paraíba do Sul;44045
Paraty;42630
Paty do Alferes;27678
Petrópolis;305687
Pinheiral;24941
Piraí;28999
Porciúncula;18730
Porto Real;19381
Quatis;14165
Queimados;149265
Quissamã;24246
Resende;130334
Rio Bonito;59814
Rio Claro;18451
Rio das Flores;9222
Rio das Ostras;145989
Rio de Janeiro;6688927
Santa Maria Madalena;10417
Santo Antônio de Pádua;42359
São Francisco de Itabapoana;42201
São Fidélis;38626
São Gonçalo;1077687
São João da Barra;36138
São João de Meriti;471888
São José de Ubá;7134
São José do Vale do Rio Preto;21670
São Pedro da Aldeia;102846
São Sebastião do Alto;9326
Sapucaia;18205
Saquarema;87704
Seropédica;86743
Silva Jardim;21773
Sumidouro;15577
Tanguá;33870
Teresópolis;180886
Trajano de Morais;10611
Três Rios;81453
Valença;76163
Varre-Sai;10890
Vassouras;36702
Volta Redonda;271998
