"";"Rótulos de Linha";"2014";"2015";"2016";"2017";"2018"
"7";"Angra dos Reis";77328284,06;65592626,29;57455843,95;71305562,96;127957227,74
"8";"Aperibé";6125790,3;4561974,93;3936213,62;5256396,17;8128408,64
"9";"Araruama";11448540,42;8881260,65;7495952;9826951,04;38707544,43
"10";"Areal";157138,67;110175,32;120326,75;148795,95;199640,72
"11";"Armação de Búzios";93045033,54;48089274,28;33863762,72;44334967,08;80272510,31
"12";"Arraial do Cabo";46499346,51;28664837,66;46850034,88;29337585,98;69649407,74
"13";"Barra do Piraí";11922801,95;8959811,29;8055723,23;10331824,84;15534488,62
"14";"Barra Mansa";13228599,41;9358904,33;9353499,83;12999226,17;18008386,16
"15";"Belford Roxo";12229920,24;9090647,86;7838126,05;10449421,47;16158262,6
"16";"Bom Jardim";7939785,98;5990409,19;5127722,06;6815336,86;10549988,36
"17";"Bom Jesus do Itabapoana";8631156,18;6409283,43;5530834,12;7404399,31;11412962
"18";"Cabo Frio";328603362,54;145141065,83;90406117,44;123450370,49;199306818,78
"19";"Cachoeiras de Macacu";43968180,79;31686711,68;27812104,78;39220611,3;28193186,96
"20";"Cambuci";6729833,33;5006984,13;4322062,35;5793794,91;8950050,76
"21";"Campos dos Goytacazes";1288409821,84;696684049,23;381319346,32;467824761,31;706076569,61
"22";"Cantagalo";7745678,17;5862715,17;5142158,14;6686339,45;10103774,79
"23";"Carapebus";41645975,15;26092384,98;20483199,07;26529148,96;42604515,08
"24";"Cardoso Moreira";6466119,32;4808505,01;4119464,7;5520330,83;8519803,53
"25";"Carmo";7600371,45;5679057,5;5243627,97;6679066,11;10059066,83
"26";"Casimiro de Abreu";117382154,32;55876576,04;36844494,31;48579826,53;84872726,59
"27";"Comendador Levy Gasparian";91882,68;72164,81;60283;78246,68;118971,85
"28";"Conceição de Macabu";7616671,69;5671228,37;4891601,89;6533356,39;10123556,08
"29";"Cordeiro";7614412,67;5670940,93;4889083,75;6531251,44;10102925,21
"30";"Duas Barras";6133627,35;4569536,62;3939149,88;5259232,85;8131804,4
"31";"Duque de Caxias";67453863,82;43479020,93;37659866;52996705,47;83276193,26
"32";"Engenheiro Paulo de Frontin";6412607,1;4775980,73;4138321;5500090,66;8510330,27
"33";"Guapimirim";57417198,43;41078390,81;34814367,93;44850317,99;36650449,51
"34";"Iguaba Grande";7643272,98;5692980,32;4907886,35;6556014,81;10140933,8
"35";"Itaboraí";16830066,51;12033797,24;10601605,68;13614005,72;22508985,03
"36";"Itaguaí";31063894,95;58966159,38;30153308,91;37420741,06;61954256,09
"37";"Italva";6928512,65;5192030,3;4500338,55;5929302,18;9045003,32
"38";"Itaocara";7614739,16;5668493,84;4891789,75;6531429,78;10102990,87
"39";"Itaperuna";10900392,64;8139655,18;7090361,83;9398588,91;14378749,68
"40";"Itatiaia";8485789,81;6285656,95;5556756,24;7313686,86;11257970,05
"41";"Japeri";17300662,55;14501648,25;10766029,15;15001320,34;20453296,55
"42";"Laje do Muriaé";5811208,56;4326660,18;3732541,75;4985880,64;7713574,93
"43";"Macaé";549433190,4;367458655,61;297083220,19;403133482,24;621275354,28
"44";"Macuco";5810282,9;4327069,12;3732541,75;4984077,49;7710132,84
"45";"Magé";61677549,79;44256514,39;37900052,87;49087967,73;39486415,44
"46";"Mangaratiba";20745469,16;22119254,89;22242904,24;27191264,85;49909369,69
"47";"Maricá";232849674,97;275686876,23;301415725,1;747468460,45;1425977990,52
