"";"x.exe";"municípios";"2015.exe";"2016.exe";"2017.exe";"2018.exe";"x.leg";"2015.leg";"2016.leg";"2017.leg";"2018.leg";"2015";"2016";"2017";"2018"
"1";2;"Rio de Janeiro";44,26;49,04;52,88;51,19;53;1,87;2,19;2,41;2,11;46,13;51,23;55,29;53,3
"2";3;"São Gonçalo";58,68;57,3;56,69;53,97;58;2,03;2,22;2,09;1,92;60,71;59,52;58,78;55,89
"3";4;"Duque de Caxias";58,49;58,52;59,66;60,07;20;2,84;3,07;3,04;2,66;61,33;61,59;62,7;62,73
"4";5;"Nova Iguaçu";53,67;48,98;53,65;49,75;39;1,48;1,4;1,07;1,03;55,15;50,38;54,72;50,78
"5";6;"Niterói";47,27;45,9;41,19;36,41;37;2,52;2,53;2,13;1,74;49,79;48,43;43,32;38,15
"6";7;"Belford Roxo";57,26;67,26;52,74;53,87;7;1,67;1,77;1,86;1,76;58,93;69,03;54,6;55,63
"7";8;"Campos dos Goytacazes";45,82;53,87;53,17;49,28;15;1,34;1,43;1,35;1,1;47,16;55,3;54,52;50,38
"8";9;"São João de Meriti";54,12;53,5;63,86;61,15;60;2,27;2,19;2,24;2,24;56,39;55,69;66,1;63,39
"9";10;"Petrópolis";50,09;50,18;51,64;44,37;44;2,21;2,25;2,15;1,85;52,3;52,43;53,79;46,22
"10";11;"Volta Redonda";47,74;54,89;51,94;49,63;72;3,32;3,31;3,05;3,27;51,06;58,2;54,99;52,9
"11";12;"Macaé";54,85;57,43;56,67;56,4;29;2,6;3,13;3,26;2,59;57,45;60,56;59,93;58,99
"12";13;"Magé";53,77;60,28;52,85;55,65;31;1,91;2,01;2,14;1,76;55,68;62,29;54,99;57,41
"13";14;"Itaboraí";47,17;56,96;55,65;53,67;23;2,08;3,12;2,18;1,85;49,25;60,08;57,83;55,52
"14";15;"Cabo Frio";67,54;46,9;66,5;67,09;10;1,99;2,31;1,66;1,97;69,53;49,21;68,16;69,06
"15";16;"Angra dos Reis";53,54;52,52;46,78;43,96;2;3,07;3,11;3,14;2,54;56,61;55,63;49,92;46,5
"16";17;"Nova Friburgo";50,6;48,86;47,68;47,81;38;2,51;2,48;2,66;2,49;53,11;51,34;50,34;50,3
"17";18;"Barra Mansa";44,74;46,2;46,74;43,64;6;2,33;2,3;2,53;2,22;47,07;48,5;49,27;45,86
"18";19;"Teresópolis";53,23;47,32;41,74;55,04;68;3,08;3,18;3,11;3,06;56,31;50,5;44,85;58,1
"19";20;"Mesquita";37,68;29,07;53,43;45,74;82;2,59;2,55;2,66;2,24;40,27;31,62;56,09;47,98
"20";21;"Nilópolis";43,87;44,38;45,55;42,89;36;2,29;2,41;2,45;2,23;46,16;46,79;48;45,12
"21";22;"Maricá";36,25;38,59;27,61;22,52;33;1,2;1,25;0,85;0,74;37,45;39,84;28,46;23,26
"22";23;"Queimados";48,3;49,47;53,39;50,72;47;2,17;2,6;2,91;2,49;50,47;52,07;56,3;53,21
"23";24;"Rio das Ostras";47,58;50,06;42,27;43,07;88;2,1;2,64;2,61;2,13;49,68;52,7;44,88;45,2
"24";25;"Resende";57,24;50,44;50,09;50,04;49;2,26;2,49;2,62;2,57;59,5;52,93;52,71;52,61
"25";26;"Araruama";56,32;61,22;53,11;48,95;74;2,64;2,77;3,01;2,89;58,96;63,99;56,12;51,84
"26";27;"Itaguaí";64,76;81,32;82,36;67,45;24;4,17;3,79;3,42;2,9;68,93;85,11;85,78;70,35
"27";28;"Japeri";51,72;39,91;53,52;53,11;28;2,31;2,39;2,18;1,96;54,03;42,3;55,7;55,07
"28";29;"Itaperuna";40,95;37,67;43,82;45,88;27;2;2,11;2,09;1,89;42,95;39,78;45,91;47,77
"29";30;"São Pedro da Aldeia";56,22;55,28;50,57;49,42;63;3,26;3,3;3,24;3,03;59,48;58,58;53,81;52,45
"30";31;"Barra do Piraí";45,88;42,33;43,69;42,22;5;3,2;3,27;3,29;2,66;49,08;45,6;46,98;44,88
